author,year,journal,score,species,only13.14,three_data,eleven_rando,twelve_permit,thirteen_stats,fourteen_assump
"Gordon, Lenhart, LaPara",2020,Journal of Environmental Quality,0.321428571,RCG,2,0,1,0,2,2
"Rojas, Zedler",2015,Wetlands Ecology and Management,0.346153846,RCG,1.5,0,2,0,2,1
"Price, Spyreas, Matthews",2018,Journal of Ecology,0.576923077,RCG,2,2,1,0,2,2
"Kirsch, Gray, Fox, Thogmartin",2007,Wetlands,0.346153846,RCG,2,0,1,0,2,2
"Green, Galatowitsch",2001,Canadian Journal of Botany,0.346153846,RCG,2,0,1,,2,2
"Rowe, Duarte, Pearl, McCreary, Galvan, Peterson, Adams",2019,Ecosphere,0.576923077,RCG,2,2,1,0,2,2
"Wetzel, van der Valk ",1998,Plant Ecology,0.346153846,RCG,2,0,1,,2,2
"Lavoie, Jean, Delisle, Letourneau",2003,Journal of Biogeography,0.178571429,RCG,0.5,0,0,0,1,0
"De Jager, Swanson, Strauss, Thomsen, Yin",2015,Wetlands Ecology and Management,0.178571429,RCG,1,0,0,0,2,0
"Mahaney, Wardrop, Brooks",2004,Plant Ecology,0.285714286,RCG,2,0,0,0,2,2
"Rachich, Reader",1999,Wetlands,0.346153846,RCG,2,0,1,0,2,2
"Martinez, McDowell",2016,Invasive Plant Science and Management,0.178571429,RCG,0,0,2,0,0,0
"Schooler, McEvoy, Hammond, Coombs",2009,Bulletin of Entomological Research,0.392857143,RCG,2,0,2,0,2,2
"Yavitt, Burtis, Smemo, Welsch",2018,Geoderma,0.321428571,RCG,2,0,1,0,2,2
"Cohen, Ng, Blossey",2012,Journal of Herpetology,0.357142857,RCG,2,0,1,1,2,2
"Jacinthe, Bills, Tedesco",2010,Plant and Soil,0.357142857,RCG,2,0,0,2,2,2
Lesica,1997,The Great Basin Naturalist,0.192307692,RCG,0.5,0,0,0,1,0
"Fierke, Kauffman",2005,Forest Ecology and Management,0.392857143,RCG,2,0,1,2,2,2
